Gen	 Best	 B_std_dev	 Mean	 M_std_dev	 Worst	 W_std_dev	 Repeated	 R_std_dev	 Lower	 L_std_dev	 Higher	 H_std_dev
32	 409244,1778	 62652,0534	 25954937897728070000000000000000000000,0000	 142157600798338730000000000000000000000,0000	 2595493789772806700000000000000000000000,0000	 14215760079833872000000000000000000000000,0000	 17,3333%	 19,1533%	 84,7667%	 14,4167%	 15,2333%	 14,4167%
33	 408289,8799	 63824,5533	 67954031739319700000000000000000000,0000	 259523944369186280000000000000000000,0000	 6795101587185958000000000000000000000,0000	 25952445688981655000000000000000000000,0000	 16,2333%	 16,3890%	 90,0333%	 12,9521%	 9,9667%	 12,9521%
34	 407334,2298	 64057,6708	 257489487401039300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 1410328005699915000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 25748948740103930000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 141032800569991520000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 15,5667%	 17,1799%	 89,0667%	 12,2838%	 10,9333%	 12,2838%
35	 403337,3022	 66188,1866	 64633032806848310000000000000000000000000000000000000000000000000000000000000000000000000,0000	 354009700282822800000000000000000000000000000000000000000000000000000000000000000000000000,0000	 6463303280684831000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 35400970028282214000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 14,6667%	 17,5741%	 84,3333%	 14,9582%	 15,6667%	 14,9582%
36	 400393,0946	 67340,5571	 432939193015300300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 2371305620425633200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 43293919301530033000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 237130562042563130000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 15,6333%	 20,2101%	 87,5333%	 14,7174%	 12,4667%	 14,7174%
37	 398423,3497	 68494,4637	 12202874004831942000000000000000000000000000000000000000000000000000000000000000,0000	 66837893588398560000000000000000000000000000000000000000000000000000000000000000,0000	 1220287400483194000000000000000000000000000000000000000000000000000000000000000000,0000	 6683789358839857000000000000000000000000000000000000000000000000000000000000000000,0000	 14,5333%	 18,9076%	 89,4333%	 12,3726%	 10,5667%	 12,3726%
38	 398562,9151	 68828,7640	 69219465658828090000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 379130627597943350000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 6921946565882809000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 37913062759794340000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 14,8333%	 18,6642%	 84,7333%	 14,5506%	 15,2667%	 14,5506%
39	 397405,4304	 68716,8693	 335738230525900600000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 1838914022759053600000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 28999679996361284000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 158837788944384060000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 14,9333%	 18,4371%	 84,8000%	 15,1735%	 15,2000%	 15,1735%
40	 396248,7165	 68833,1361	 755915585269769500000000000000000000000,0000	 4140320176219730000000000000000000000000,0000	 75591558526976950000000000000000000000000,0000	 414032017621972500000000000000000000000000,0000	 14,8000%	 18,1230%	 87,1000%	 15,8709%	 12,9000%	 15,8709%
41	 395146,2252	 67895,5076	 91451489975222330000000,0000	 500900439765375650000000,0000	 9145148997522213000000000,0000	 50090043976537545000000000,0000	 12,9000%	 16,6554%	 86,6333%	 14,7753%	 13,3667%	 14,7753%
