Gen	 Best	 B_std_dev	 Mean	 M_std_dev	 Worst	 W_std_dev	 Repeated	 R_std_dev	 Lower	 L_std_dev	 Higher	 H_std_dev
57	 0,0000	 0,0000	 95426495172274840000000000000000000000000000000000000,0000	 522672439895127400000000000000000000000000000000000000,0000	 9542649517227483000000000000000000000000000000000000000,0000	 52267243989512790000000000000000000000000000000000000000,0000	 75,9000%	 12,8180%	 75,8667%	 16,8313%	 24,1333%	 16,8313%
58	 0,0000	 0,0000	 35866787345210150000,0000	 196450355092021000000,0000	 3586678734521014700000,0000	 19645035509202096000000,0000	 76,4333%	 12,3949%	 75,5000%	 15,8609%	 24,5000%	 15,8609%
59	 0,0000	 0,0000	 516,7006	 2826,6001	 51594,7247	 282333,1338	 76,8000%	 12,8771%	 76,9000%	 16,5932%	 23,1000%	 16,5932%
60	 0,0000	 0,0000	 148597518990380980000000000000000000000000000000000000000000000000000,0000	 813902131403339600000000000000000000000000000000000000000000000000000,0000	 14859751899038098000000000000000000000000000000000000000000000000000000,0000	 81390213140333940000000000000000000000000000000000000000000000000000000,0000	 76,2000%	 13,0896%	 76,1000%	 17,7168%	 23,9000%	 17,7168%
61	 0,0000	 0,0000	 4525913212890483000000000000000000000000000000000000000000000000000000000000000000000,0000	 24789447600107970000000000000000000000000000000000000000000000000000000000000000000000,0000	 452591321289048300000000000000000000000000000000000000000000000000000000000000000000000,0000	 2478944760010800600000000000000000000000000000000000000000000000000000000000000000000000,0000	 75,7667%	 13,2942%	 77,1333%	 16,6293%	 22,8667%	 16,6293%
62	 0,0000	 0,0000	 79216626190613,2300	 433887303760657,2500	 7921662619061305,0000	 43388730376065720,0000	 75,0667%	 13,3905%	 78,3333%	 15,8557%	 21,6667%	 15,8557%
63	 0,0000	 0,0000	 978641692,3191	 5360241304,4110	 97864169216,7681	 536024130440,8804	 73,7333%	 13,9257%	 77,9000%	 16,5224%	 22,1000%	 16,5224%
64	 0,0000	 0,0000	 640016982609252400000000,0000	 3505517385614791700000000,0000	 64001698260925240000000000,0000	 350551738561479200000000000,0000	 73,5000%	 14,3208%	 77,3000%	 15,0909%	 22,7000%	 15,0909%
65	 0,0000	 0,0000	 3829,5467	 20918,0049	 382938,6868	 2091800,2947	 74,0333%	 14,4687%	 75,9667%	 15,6942%	 24,0333%	 15,6942%
66	 0,0000	 0,0000	 642450953161574400000000000000000000000000000000000000000000000000000000000000,0000	 3518848791372892500000000000000000000000000000000000000000000000000000000000000,0000	 64245095316157440000000000000000000000000000000000000000000000000000000000000000,0000	 351884879137289260000000000000000000000000000000000000000000000000000000000000000,0000	 74,4000%	 13,4128%	 73,7000%	 16,5470%	 26,3000%	 16,5470%
67	 0,0000	 0,0000	 244130757250659,0300	 1337159227261692,2000	 24413075725065884,0000	 133715922726169248,0000	 74,4333%	 13,8482%	 83,5333%	 17,6102%	 16,4667%	 17,6102%
68	 0,0000	 0,0000	 207717552419625,1600	 1137715890484159,5000	 20771755241962496,0000	 113771589048415936,0000	 74,3000%	 12,9858%	 78,7000%	 16,0369%	 21,3000%	 16,0369%
69	 0,0000	 0,0000	 2425,2986	 13266,0727	 215133,5350	 1176643,2544	 75,9333%	 14,0318%	 78,5333%	 17,0511%	 21,4667%	 17,0511%
70	 0,0000	 0,0000	 6251061523321978000000,0000	 34238474046760530000000,0000	 358057690546664040000000,0000	 1961162740006121600000000,0000	 74,2333%	 15,1423%	 77,8333%	 15,3423%	 22,1667%	 15,3423%
71	 0,0000	 0,0000	 65379604753240,8360	 358098825007248,3000	 6537960475324064,0000	 35809882500724824,0000	 74,2667%	 13,2923%	 77,0000%	 15,8875%	 23,0000%	 15,8875%
72	 0,0000	 0,0000	 211843594,8795	 1160297268,2628	 21184359471,4476	 116029726824,6963	 75,0333%	 14,7660%	 83,5333%	 16,8251%	 16,4667%	 16,8251%
73	 0,0000	 0,0000	 0,3847	 0,6563	 20,8462	 54,4010	 74,3333%	 14,7913%	 79,3000%	 18,9011%	 20,7000%	 18,9011%
74	 0,0000	 0,0000	 124266447055822550000000000000000000000000000000000000000000000000000000000,0000	 680635361934954900000000000000000000000000000000000000000000000000000000000,0000	 12426644705582253000000000000000000000000000000000000000000000000000000000000,0000	 68063536193495460000000000000000000000000000000000000000000000000000000000000,0000	 74,9333%	 14,6639%	 73,7667%	 14,8293%	 26,2333%	 14,8293%
75	 0,0000	 0,0000	 31994530833969316000000000000000000000000000000000000000,0000	 175241262545595670000000000000000000000000000000000000000,0000	 3199453083396931400000000000000000000000000000000000000000,0000	 17524126254559565000000000000000000000000000000000000000000,0000	 74,3000%	 13,3859%	 75,4667%	 17,4509%	 24,5333%	 17,4509%
