Gen	 Best	 B_std_dev	 Mean	 M_std_dev	 Worst	 W_std_dev
79	 0,0000	 0,0000	 13401242638406934000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 18952219091887686000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 1340124263840693400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 0,0000
80	 0,0000	 0,0000	 20981955023882940000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 29672965359877554000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 2098195502388294200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 0,0000
81	 0,0000	 0,0000	 515600811472116200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 729169660354440100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 51560081147211620000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 0,0000
82	 0,0000	 0,0000	 2486408433284214400000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 3516312527949375000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 248640843328421460000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 0,0000
83	 0,0000	 0,0000	 6,0112	 4,6024	 67,8078	 0,0000
84	 0,0000	 0,0000	 107537251745409780000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 152080639878688300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 10753725174540978000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 0,0000
85	 0,0000	 0,0000	 108836512270777780000,0000	 153918071734719700000,0000	 10883651227077778000000,0000	 0,0000
86	 0,0000	 0,0000	 16544791870366780000000000,0000	 23397869049712825000000000,0000	 1654479187036678000000000000,0000	 0,0000
87	 0,0000	 0,0000	 27,6854	 31,6432	 2292,8480	 0,0000
88	 0,0000	 0,0000	 20504495047618387000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 28997734985953880000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 2050449504761838700000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 0,0000
89	 0,0000	 0,0000	 23949183022210875000000000000000000000000000000000000000000000000,0000	 33869259437766086000000000000000000000000000000000000000000000000,0000	 2394918302221087400000000000000000000000000000000000000000000000000,0000	 0,0000
90	 0,0000	 0,0000	 2140282724,5228	 3026816849,9273	 214028267575,6105	 0,0000
91	 0,0000	 0,0000	 30,6440	 27,7958	 2440,3060	 0,0000
92	 0,0000	 0,0000	 24098217,7123	 34080018,5923	 2409821131,8765	 0,0000
93	 0,0000	 0,0000	 2888443772640,2734	 4084876357412,8860	 288844377254676,6000	 0,0000
94	 0,0000	 0,0000	 475134284458635000000000000000000000000000000000000000000000000000,0000	 671941349029837700000000000000000000000000000000000000000000000000,0000	 47513428445863506000000000000000000000000000000000000000000000000000,0000	 0,0000
95	 0,0000	 0,0000	 5,2258	 0,8426	 85,8891	 0,0000
96	 0,0000	 0,0000	 49,3771	 1,2053	 4518,1140	 0,0000
97	 0,0000	 0,0000	 63,0297	 78,8293	 5055,4328	 0,0000
98	 0,0000	 0,0000	 4,7015	 2,7153	 159,4221	 0,0000
99	 0,0000	 0,0000	 6279068914272790000000000000000000000000000000,0000	 8879944417639885000000000000000000000000000000,0000	 627906891427279000000000000000000000000000000000,0000	 0,0000
100	 0,0000	 0,0000	 1072228400692715700000000000000000000000000000000000000000000000,0000	 1516359946221251800000000000000000000000000000000000000000000000,0000	 107222840069271570000000000000000000000000000000000000000000000000,0000	 0,0000
101	 0,0000	 0,0000	 1072228400692715700000000000000000000000000000000000000000000000,0000	 1516359946221251800000000000000000000000000000000000000000000000,0000	 107222840069271570000000000000000000000000000000000000000000000000,0000	 0,0000
102	 0,0000	 0,0000	 39,5175	 16,3169	 3420,5241	 0,0000
103	 0,0000	 0,0000	 88706321424814780000,0000	 125449682827200120000,0000	 8870632142481479000000,0000	 0,0000
104	 0,0000	 0,0000	 292317106175404500000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 413398816066913000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 29231710617540450000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 0,0000
105	 0,0000	 0,0000	 5,9380	 2,0506	 84,5531	 0,0000
106	 0,0000	 0,0000	 5,7519	 0,8076	 150,3367	 0,0000
107	 0,0000	 0,0000	 32,6345	 40,5235	 2292,7777	 0,0000
108	 0,0000	 0,0000	 2319369256194018300,0000	 3280083458260778500,0000	 231936925619401850000,0000	 0,0000
109	 0,0000	 0,0000	 28686524673152423000000000000000000000000000000000000000000000000000000000,0000	 40568872250122573000000000000000000000000000000000000000000000000000000000,0000	 2868652467315242300000000000000000000000000000000000000000000000000000000000,0000	 0,0000
110	 0,0000	 0,0000	 150483970871383360000000,0000	 212816472526068100000000,0000	 15048397087138335000000000,0000	 0,0000
111	 0,0000	 0,0000	 58,1746	 78,8529	 2289,7386	 0,0000
112	 0,0000	 0,0000	 1564413960313215200000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 2212415439840754000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 156441396031321340000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 0,0000
113	 0,0000	 0,0000	 23610651792845810000000000000000000000000000000000,0000	 33390503981911177000000000000000000000000000000000,0000	 2361065179284581000000000000000000000000000000000000,0000	 0,0000
114	 0,0000	 0,0000	 197,9722	 203,0447	 7316,9329	 0,0000
115	 0,0000	 0,0000	 104701341900483460000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 148070057714326100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 10470134190048346000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 0,0000
116	 0,0000	 0,0000	 1072228400692715700000000000000000000000000000000000000000000000,0000	 1516359946221251800000000000000000000000000000000000000000000000,0000	 107222840069271570000000000000000000000000000000000000000000000000,0000	 0,0000
117	 0,0000	 0,0000	 148867618611903240000000000000000000000000000000000,0000	 210530605239138960000000000000000000000000000000000,0000	 14886761861190325000000000000000000000000000000000000,0000	 0,0000
118	 0,0000	 0,0000	 5782690200065993,0000	 8177958907935034,0000	 578269020006591740,0000	 0,0000
